simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,nueva_eleccion,estrategia,resultado
0,3,1,1,0,2,Cambiar,0
1,3,0,2,1,0,Cambiar,1
2,3,0,1,2,0,Cambiar,1
3,3,2,0,1,2,Cambiar,1
4,3,2,0,1,2,Cambiar,1
5,3,2,1,0,2,Cambiar,1
6,3,0,0,2,1,Cambiar,0
7,3,1,1,2,0,Cambiar,0
8,3,1,0,2,1,Cambiar,1
9,3,1,2,0,1,Cambiar,1
10,3,1,2,0,1,Cambiar,1
11,3,0,1,2,0,Cambiar,1
12,3,0,0,1,2,Cambiar,0
13,3,0,1,2,0,Cambiar,1
14,3,1,2,0,1,Cambiar,1
15,3,1,1,2,0,Cambiar,0
16,3,0,0,1,2,Cambiar,0
17,3,1,2,0,1,Cambiar,1
18,3,0,1,2,0,Cambiar,1
19,3,2,0,1,2,Cambiar,1
20,3,2,0,1,2,Cambiar,1
21,3,0,1,2,0,Cambiar,1
22,3,2,2,1,0,Cambiar,0
23,3,0,2,1,0,Cambiar,1
24,3,2,1,0,2,Cambiar,1
25,3,0,2,1,0,Cambiar,1
26,3,1,1,2,0,Cambiar,0
27,3,2,2,0,1,Cambiar,0
28,3,2,1,0,2,Cambiar,1
29,3,1,0,2,1,Cambiar,1
30,3,0,2,1,0,Cambiar,1
31,3,1,0,2,1,Cambiar,1
32,3,1,0,2,1,Cambiar,1
33,3,0,0,2,1,Cambiar,0
34,3,1,2,0,1,Cambiar,1
35,3,0,1,2,0,Cambiar,1
36,3,2,1,0,2,Cambiar,1
37,3,2,1,0,2,Cambiar,1
38,3,0,2,1,0,Cambiar,1
39,3,1,2,0,1,Cambiar,1
40,3,1,1,2,0,Cambiar,0
41,3,0,2,1,0,Cambiar,1
42,3,1,0,2,1,Cambiar,1
43,3,0,1,2,0,Cambiar,1
44,3,2,0,1,2,Cambiar,1
45,3,0,2,1,0,Cambiar,1
46,3,2,1,0,2,Cambiar,1
47,3,0,1,2,0,Cambiar,1
48,3,0,1,2,0,Cambiar,1
49,3,1,2,0,1,Cambiar,1
50,3,2,2,0,1,Cambiar,0
51,3,1,1,0,2,Cambiar,0
52,3,1,2,0,1,Cambiar,1
53,3,1,2,0,1,Cambiar,1
54,3,1,1,0,2,Cambiar,0
55,3,0,0,1,2,Cambiar,0
56,3,0,0,2,1,Cambiar,0
57,3,0,2,1,0,Cambiar,1
58,3,2,0,1,2,Cambiar,1
59,3,0,2,1,0,Cambiar,1
60,3,0,2,1,0,Cambiar,1
61,3,0,2,1,0,Cambiar,1
62,3,1,2,0,1,Cambiar,1
63,3,1,2,0,1,Cambiar,1
64,3,2,0,1,2,Cambiar,1
65,3,1,1,0,2,Cambiar,0
66,3,2,0,1,2,Cambiar,1
67,3,1,1,0,2,Cambiar,0
68,3,2,2,0,1,Cambiar,0
69,3,0,0,1,2,Cambiar,0
70,3,2,0,1,2,Cambiar,1
71,3,1,1,0,2,Cambiar,0
72,3,2,1,0,2,Cambiar,1
73,3,2,0,1,2,Cambiar,1
74,3,0,2,1,0,Cambiar,1
75,3,0,1,2,0,Cambiar,1
76,3,0,0,1,2,Cambiar,0
77,3,1,0,2,1,Cambiar,1
78,3,1,0,2,1,Cambiar,1
79,3,1,1,0,2,Cambiar,0
80,3,0,0,1,2,Cambiar,0
81,3,0,1,2,0,Cambiar,1
82,3,2,2,0,1,Cambiar,0
83,3,0,0,2,1,Cambiar,0
84,3,2,0,1,2,Cambiar,1
85,3,0,2,1,0,Cambiar,1
86,3,0,1,2,0,Cambiar,1
87,3,1,1,0,2,Cambiar,0
88,3,0,1,2,0,Cambiar,1
89,3,0,1,2,0,Cambiar,1
90,3,1,0,2,1,Cambiar,1
91,3,1,2,0,1,Cambiar,1
92,3,0,0,2,1,Cambiar,0
93,3,1,0,2,1,Cambiar,1
94,3,2,0,1,2,Cambiar,1
95,3,0,1,2,0,Cambiar,1
96,3,2,0,1,2,Cambiar,1
97,3,2,1,0,2,Cambiar,1
98,3,1,1,0,2,Cambiar,0
99,3,1,0,2,1,Cambiar,1
100,3,1,1,0,2,Cambiar,0
101,3,2,1,0,2,Cambiar,1
102,3,0,1,2,0,Cambiar,1
103,3,2,1,0,2,Cambiar,1
104,3,0,2,1,0,Cambiar,1
105,3,1,1,0,2,Cambiar,0
106,3,2,0,1,2,Cambiar,1
107,3,2,1,0,2,Cambiar,1
108,3,2,0,1,2,Cambiar,1
109,3,0,2,1,0,Cambiar,1
110,3,0,0,2,1,Cambiar,0
111,3,0,1,2,0,Cambiar,1
112,3,0,1,2,0,Cambiar,1
113,3,0,2,1,0,Cambiar,1
114,3,1,1,0,2,Cambiar,0
115,3,0,2,1,0,Cambiar,1
116,3,1,0,2,1,Cambiar,1
117,3,1,2,0,1,Cambiar,1
118,3,1,0,2,1,Cambiar,1
119,3,0,0,2,1,Cambiar,0
120,3,2,2,1,0,Cambiar,0
121,3,2,2,0,1,Cambiar,0
122,3,0,1,2,0,Cambiar,1
123,3,2,1,0,2,Cambiar,1
124,3,0,1,2,0,Cambiar,1
125,3,2,1,0,2,Cambiar,1
126,3,2,1,0,2,Cambiar,1
127,3,2,2,0,1,Cambiar,0
128,3,2,2,0,1,Cambiar,0
129,3,1,1,0,2,Cambiar,0
130,3,0,0,2,1,Cambiar,0
131,3,1,2,0,1,Cambiar,1
132,3,0,0,1,2,Cambiar,0
133,3,1,0,2,1,Cambiar,1
134,3,1,2,0,1,Cambiar,1
135,3,1,2,0,1,Cambiar,1
136,3,1,0,2,1,Cambiar,1
137,3,2,1,0,2,Cambiar,1
138,3,2,2,0,1,Cambiar,0
139,3,0,2,1,0,Cambiar,1
140,3,1,0,2,1,Cambiar,1
141,3,1,2,0,1,Cambiar,1
142,3,0,2,1,0,Cambiar,1
143,3,1,2,0,1,Cambiar,1
144,3,2,0,1,2,Cambiar,1
145,3,0,0,2,1,Cambiar,0
146,3,0,0,2,1,Cambiar,0
147,3,0,0,2,1,Cambiar,0
148,3,0,1,2,0,Cambiar,1
149,3,2,1,0,2,Cambiar,1
150,3,1,1,0,2,Cambiar,0
151,3,0,2,1,0,Cambiar,1
152,3,0,0,1,2,Cambiar,0
153,3,0,1,2,0,Cambiar,1
154,3,2,0,1,2,Cambiar,1
155,3,0,2,1,0,Cambiar,1
156,3,1,0,2,1,Cambiar,1
157,3,1,0,2,1,Cambiar,1
158,3,0,0,1,2,Cambiar,0
159,3,0,0,1,2,Cambiar,0
160,3,0,0,2,1,Cambiar,0
161,3,2,0,1,2,Cambiar,1
162,3,0,0,2,1,Cambiar,0
163,3,0,1,2,0,Cambiar,1
164,3,0,1,2,0,Cambiar,1
165,3,2,2,0,1,Cambiar,0
166,3,2,1,0,2,Cambiar,1
167,3,2,1,0,2,Cambiar,1
168,3,2,2,1,0,Cambiar,0
169,3,2,0,1,2,Cambiar,1
170,3,0,2,1,0,Cambiar,1
171,3,2,0,1,2,Cambiar,1
172,3,0,1,2,0,Cambiar,1
173,3,0,2,1,0,Cambiar,1
174,3,2,0,1,2,Cambiar,1
175,3,0,0,2,1,Cambiar,0
176,3,2,1,0,2,Cambiar,1
177,3,1,1,2,0,Cambiar,0
178,3,1,0,2,1,Cambiar,1
179,3,2,1,0,2,Cambiar,1
180,3,2,1,0,2,Cambiar,1
181,3,1,2,0,1,Cambiar,1
182,3,1,1,0,2,Cambiar,0
183,3,0,2,1,0,Cambiar,1
184,3,2,2,0,1,Cambiar,0
185,3,0,2,1,0,Cambiar,1
186,3,2,1,0,2,Cambiar,1
187,3,1,2,0,1,Cambiar,1
188,3,0,1,2,0,Cambiar,1
189,3,0,1,2,0,Cambiar,1
190,3,0,1,2,0,Cambiar,1
191,3,0,1,2,0,Cambiar,1
192,3,0,1,2,0,Cambiar,1
193,3,2,0,1,2,Cambiar,1
194,3,1,1,0,2,Cambiar,0
195,3,2,1,0,2,Cambiar,1
196,3,1,1,0,2,Cambiar,0
197,3,0,0,2,1,Cambiar,0
198,3,0,2,1,0,Cambiar,1
199,3,0,0,2,1,Cambiar,0
200,3,0,1,2,0,Cambiar,1
201,3,2,1,0,2,Cambiar,1
202,3,1,2,0,1,Cambiar,1
203,3,1,2,0,1,Cambiar,1
204,3,0,0,1,2,Cambiar,0
205,3,2,1,0,2,Cambiar,1
206,3,2,1,0,2,Cambiar,1
207,3,1,1,0,2,Cambiar,0
208,3,1,2,0,1,Cambiar,1
209,3,1,0,2,1,Cambiar,1
210,3,0,0,2,1,Cambiar,0
211,3,2,1,0,2,Cambiar,1
212,3,0,1,2,0,Cambiar,1
213,3,2,1,0,2,Cambiar,1
214,3,0,0,1,2,Cambiar,0
215,3,2,1,0,2,Cambiar,1
216,3,1,0,2,1,Cambiar,1
217,3,0,1,2,0,Cambiar,1
218,3,2,2,1,0,Cambiar,0
219,3,2,1,0,2,Cambiar,1
220,3,0,1,2,0,Cambiar,1
221,3,0,2,1,0,Cambiar,1
222,3,2,0,1,2,Cambiar,1
223,3,2,0,1,2,Cambiar,1
224,3,0,1,2,0,Cambiar,1
225,3,0,0,2,1,Cambiar,0
226,3,0,1,2,0,Cambiar,1
227,3,1,0,2,1,Cambiar,1
228,3,2,1,0,2,Cambiar,1
229,3,0,2,1,0,Cambiar,1
230,3,1,0,2,1,Cambiar,1
231,3,1,1,0,2,Cambiar,0
232,3,0,1,2,0,Cambiar,1
233,3,1,1,0,2,Cambiar,0
234,3,0,2,1,0,Cambiar,1
235,3,1,2,0,1,Cambiar,1
236,3,1,0,2,1,Cambiar,1
237,3,2,1,0,2,Cambiar,1
238,3,1,0,2,1,Cambiar,1
239,3,2,0,1,2,Cambiar,1
240,3,2,0,1,2,Cambiar,1
241,3,1,2,0,1,Cambiar,1
242,3,0,1,2,0,Cambiar,1
243,3,0,1,2,0,Cambiar,1
244,3,1,1,0,2,Cambiar,0
245,3,2,2,1,0,Cambiar,0
246,3,1,2,0,1,Cambiar,1
247,3,0,1,2,0,Cambiar,1
248,3,0,1,2,0,Cambiar,1
249,3,1,1,0,2,Cambiar,0
250,3,2,1,0,2,Cambiar,1
251,3,0,2,1,0,Cambiar,1
252,3,0,2,1,0,Cambiar,1
253,3,0,1,2,0,Cambiar,1
254,3,1,2,0,1,Cambiar,1
255,3,1,1,2,0,Cambiar,0
256,3,1,0,2,1,Cambiar,1
257,3,2,2,0,1,Cambiar,0
258,3,2,1,0,2,Cambiar,1
259,3,1,0,2,1,Cambiar,1
260,3,1,1,2,0,Cambiar,0
261,3,2,0,1,2,Cambiar,1
262,3,0,1,2,0,Cambiar,1
263,3,0,0,1,2,Cambiar,0
264,3,0,1,2,0,Cambiar,1
265,3,0,0,2,1,Cambiar,0
266,3,0,2,1,0,Cambiar,1
267,3,0,2,1,0,Cambiar,1
268,3,2,2,0,1,Cambiar,0
269,3,1,1,2,0,Cambiar,0
270,3,2,0,1,2,Cambiar,1
271,3,0,2,1,0,Cambiar,1
272,3,1,0,2,1,Cambiar,1
273,3,1,0,2,1,Cambiar,1
274,3,1,2,0,1,Cambiar,1
275,3,1,1,0,2,Cambiar,0
276,3,0,2,1,0,Cambiar,1
277,3,2,0,1,2,Cambiar,1
278,3,0,1,2,0,Cambiar,1
279,3,1,2,0,1,Cambiar,1
280,3,0,1,2,0,Cambiar,1
281,3,0,2,1,0,Cambiar,1
282,3,2,1,0,2,Cambiar,1
283,3,2,0,1,2,Cambiar,1
284,3,0,1,2,0,Cambiar,1
285,3,2,2,0,1,Cambiar,0
286,3,0,0,1,2,Cambiar,0
287,3,0,1,2,0,Cambiar,1
288,3,1,2,0,1,Cambiar,1
289,3,0,2,1,0,Cambiar,1
290,3,2,2,0,1,Cambiar,0
291,3,0,1,2,0,Cambiar,1
292,3,0,1,2,0,Cambiar,1
293,3,1,0,2,1,Cambiar,1
294,3,2,2,0,1,Cambiar,0
295,3,1,1,2,0,Cambiar,0
296,3,2,1,0,2,Cambiar,1
297,3,1,2,0,1,Cambiar,1
298,3,2,0,1,2,Cambiar,1
299,3,0,2,1,0,Cambiar,1
300,3,0,2,1,0,Cambiar,1
301,3,0,2,1,0,Cambiar,1
302,3,1,1,2,0,Cambiar,0
303,3,0,1,2,0,Cambiar,1
304,3,2,1,0,2,Cambiar,1
305,3,2,2,0,1,Cambiar,0
306,3,1,2,0,1,Cambiar,1
307,3,2,2,1,0,Cambiar,0
308,3,0,1,2,0,Cambiar,1
309,3,0,2,1,0,Cambiar,1
310,3,1,2,0,1,Cambiar,1
311,3,2,0,1,2,Cambiar,1
312,3,1,0,2,1,Cambiar,1
313,3,0,2,1,0,Cambiar,1
314,3,1,0,2,1,Cambiar,1
315,3,2,1,0,2,Cambiar,1
316,3,2,2,1,0,Cambiar,0
317,3,1,0,2,1,Cambiar,1
318,3,0,1,2,0,Cambiar,1
319,3,1,0,2,1,Cambiar,1
320,3,2,1,0,2,Cambiar,1
321,3,1,2,0,1,Cambiar,1
322,3,0,1,2,0,Cambiar,1
323,3,1,2,0,1,Cambiar,1
324,3,2,0,1,2,Cambiar,1
325,3,0,1,2,0,Cambiar,1
326,3,0,2,1,0,Cambiar,1
327,3,1,1,2,0,Cambiar,0
328,3,1,2,0,1,Cambiar,1
329,3,2,1,0,2,Cambiar,1
330,3,1,0,2,1,Cambiar,1
331,3,1,2,0,1,Cambiar,1
332,3,2,2,0,1,Cambiar,0
333,3,1,2,0,1,Cambiar,1
334,3,0,1,2,0,Cambiar,1
335,3,0,0,2,1,Cambiar,0
336,3,2,0,1,2,Cambiar,1
337,3,0,0,2,1,Cambiar,0
338,3,2,1,0,2,Cambiar,1
339,3,2,1,0,2,Cambiar,1
340,3,0,1,2,0,Cambiar,1
341,3,2,0,1,2,Cambiar,1
342,3,1,1,2,0,Cambiar,0
343,3,1,1,2,0,Cambiar,0
344,3,0,0,1,2,Cambiar,0
345,3,1,0,2,1,Cambiar,1
346,3,0,2,1,0,Cambiar,1
347,3,2,2,1,0,Cambiar,0
348,3,2,2,1,0,Cambiar,0
349,3,1,0,2,1,Cambiar,1
350,3,1,1,2,0,Cambiar,0
351,3,0,2,1,0,Cambiar,1
352,3,2,0,1,2,Cambiar,1
353,3,2,0,1,2,Cambiar,1
354,3,0,2,1,0,Cambiar,1
355,3,2,0,1,2,Cambiar,1
356,3,2,2,0,1,Cambiar,0
357,3,0,1,2,0,Cambiar,1
358,3,1,2,0,1,Cambiar,1
359,3,1,2,0,1,Cambiar,1
360,3,0,0,2,1,Cambiar,0
361,3,1,2,0,1,Cambiar,1
362,3,2,1,0,2,Cambiar,1
363,3,0,2,1,0,Cambiar,1
364,3,1,2,0,1,Cambiar,1
365,3,2,1,0,2,Cambiar,1
366,3,1,1,2,0,Cambiar,0
367,3,1,1,2,0,Cambiar,0
368,3,2,1,0,2,Cambiar,1
369,3,1,1,0,2,Cambiar,0
370,3,2,0,1,2,Cambiar,1
371,3,2,2,1,0,Cambiar,0
372,3,2,0,1,2,Cambiar,1
373,3,1,2,0,1,Cambiar,1
374,3,1,0,2,1,Cambiar,1
375,3,2,1,0,2,Cambiar,1
376,3,1,1,0,2,Cambiar,0
377,3,2,1,0,2,Cambiar,1
378,3,0,1,2,0,Cambiar,1
379,3,1,2,0,1,Cambiar,1
380,3,1,2,0,1,Cambiar,1
381,3,0,1,2,0,Cambiar,1
382,3,1,2,0,1,Cambiar,1
383,3,2,0,1,2,Cambiar,1
384,3,0,1,2,0,Cambiar,1
385,3,1,0,2,1,Cambiar,1
386,3,1,1,0,2,Cambiar,0
387,3,0,2,1,0,Cambiar,1
388,3,2,2,0,1,Cambiar,0
389,3,1,0,2,1,Cambiar,1
390,3,2,0,1,2,Cambiar,1
391,3,0,2,1,0,Cambiar,1
392,3,2,1,0,2,Cambiar,1
393,3,2,1,0,2,Cambiar,1
394,3,2,2,1,0,Cambiar,0
395,3,2,0,1,2,Cambiar,1
396,3,0,2,1,0,Cambiar,1
397,3,1,1,0,2,Cambiar,0
398,3,0,1,2,0,Cambiar,1
399,3,1,1,0,2,Cambiar,0
400,3,2,2,0,1,Cambiar,0
401,3,2,1,0,2,Cambiar,1
402,3,1,2,0,1,Cambiar,1
403,3,0,2,1,0,Cambiar,1
404,3,2,2,1,0,Cambiar,0
405,3,1,2,0,1,Cambiar,1
