simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,estrategia,resultado
0,3,1,1,0,No cambiar,1
1,3,0,2,1,No cambiar,0
2,3,0,1,2,No cambiar,0
3,3,2,0,1,No cambiar,0
4,3,2,0,1,No cambiar,0
5,3,2,1,0,No cambiar,0
6,3,0,0,2,No cambiar,1
7,3,1,1,2,No cambiar,1
8,3,1,0,2,No cambiar,0
9,3,1,2,0,No cambiar,0
10,3,1,2,0,No cambiar,0
11,3,0,1,2,No cambiar,0
12,3,0,0,1,No cambiar,1
13,3,0,1,2,No cambiar,0
14,3,1,2,0,No cambiar,0
15,3,1,1,2,No cambiar,1
16,3,0,0,1,No cambiar,1
17,3,1,2,0,No cambiar,0
18,3,0,1,2,No cambiar,0
19,3,2,0,1,No cambiar,0
20,3,2,0,1,No cambiar,0
21,3,0,1,2,No cambiar,0
22,3,2,2,1,No cambiar,1
23,3,0,2,1,No cambiar,0
24,3,2,1,0,No cambiar,0
25,3,0,2,1,No cambiar,0
26,3,1,1,2,No cambiar,1
27,3,2,2,0,No cambiar,1
28,3,2,1,0,No cambiar,0
29,3,1,0,2,No cambiar,0
30,3,0,2,1,No cambiar,0
31,3,1,0,2,No cambiar,0
32,3,1,0,2,No cambiar,0
33,3,0,0,2,No cambiar,1
34,3,1,2,0,No cambiar,0
35,3,0,1,2,No cambiar,0
36,3,2,1,0,No cambiar,0
37,3,2,1,0,No cambiar,0
38,3,0,2,1,No cambiar,0
39,3,1,2,0,No cambiar,0
40,3,1,1,2,No cambiar,1
41,3,0,2,1,No cambiar,0
42,3,1,0,2,No cambiar,0
43,3,0,1,2,No cambiar,0
44,3,2,0,1,No cambiar,0
45,3,0,2,1,No cambiar,0
46,3,2,1,0,No cambiar,0
47,3,0,1,2,No cambiar,0
48,3,0,1,2,No cambiar,0
49,3,1,2,0,No cambiar,0
50,3,2,2,0,No cambiar,1
51,3,1,1,0,No cambiar,1
52,3,1,2,0,No cambiar,0
53,3,1,2,0,No cambiar,0
54,3,1,1,0,No cambiar,1
55,3,0,0,1,No cambiar,1
56,3,0,0,2,No cambiar,1
57,3,0,2,1,No cambiar,0
58,3,2,0,1,No cambiar,0
59,3,0,2,1,No cambiar,0
60,3,0,2,1,No cambiar,0
61,3,0,2,1,No cambiar,0
62,3,1,2,0,No cambiar,0
63,3,1,2,0,No cambiar,0
64,3,2,0,1,No cambiar,0
65,3,1,1,0,No cambiar,1
66,3,2,0,1,No cambiar,0
67,3,1,1,0,No cambiar,1
68,3,2,2,0,No cambiar,1
69,3,0,0,1,No cambiar,1
70,3,2,0,1,No cambiar,0
71,3,1,1,0,No cambiar,1
72,3,2,1,0,No cambiar,0
73,3,2,0,1,No cambiar,0
74,3,0,2,1,No cambiar,0
75,3,0,1,2,No cambiar,0
76,3,0,0,1,No cambiar,1
77,3,1,0,2,No cambiar,0
78,3,1,0,2,No cambiar,0
79,3,1,1,0,No cambiar,1
80,3,0,0,1,No cambiar,1
81,3,0,1,2,No cambiar,0
82,3,2,2,0,No cambiar,1
83,3,0,0,2,No cambiar,1
84,3,2,0,1,No cambiar,0
85,3,0,2,1,No cambiar,0
86,3,0,1,2,No cambiar,0
87,3,1,1,0,No cambiar,1
88,3,0,1,2,No cambiar,0
89,3,0,1,2,No cambiar,0
90,3,1,0,2,No cambiar,0
91,3,1,2,0,No cambiar,0
92,3,0,0,2,No cambiar,1
93,3,1,0,2,No cambiar,0
94,3,2,0,1,No cambiar,0
95,3,0,1,2,No cambiar,0
96,3,2,0,1,No cambiar,0
97,3,2,1,0,No cambiar,0
98,3,1,1,0,No cambiar,1
99,3,1,0,2,No cambiar,0
100,3,1,1,0,No cambiar,1
101,3,2,1,0,No cambiar,0
102,3,0,1,2,No cambiar,0
103,3,2,1,0,No cambiar,0
104,3,0,2,1,No cambiar,0
105,3,1,1,0,No cambiar,1
106,3,2,0,1,No cambiar,0
107,3,2,1,0,No cambiar,0
108,3,2,0,1,No cambiar,0
109,3,0,2,1,No cambiar,0
110,3,0,0,2,No cambiar,1
111,3,0,1,2,No cambiar,0
112,3,0,1,2,No cambiar,0
113,3,0,2,1,No cambiar,0
114,3,1,1,0,No cambiar,1
115,3,0,2,1,No cambiar,0
116,3,1,0,2,No cambiar,0
117,3,1,2,0,No cambiar,0
118,3,1,0,2,No cambiar,0
119,3,0,0,2,No cambiar,1
120,3,2,2,1,No cambiar,1
121,3,2,2,0,No cambiar,1
122,3,0,1,2,No cambiar,0
123,3,2,1,0,No cambiar,0
124,3,0,1,2,No cambiar,0
125,3,2,1,0,No cambiar,0
126,3,2,1,0,No cambiar,0
127,3,2,2,0,No cambiar,1
128,3,2,2,0,No cambiar,1
129,3,1,1,0,No cambiar,1
130,3,0,0,2,No cambiar,1
131,3,1,2,0,No cambiar,0
132,3,0,0,1,No cambiar,1
133,3,1,0,2,No cambiar,0
134,3,1,2,0,No cambiar,0
135,3,1,2,0,No cambiar,0
136,3,1,0,2,No cambiar,0
137,3,2,1,0,No cambiar,0
138,3,2,2,0,No cambiar,1
139,3,0,2,1,No cambiar,0
140,3,1,0,2,No cambiar,0
141,3,1,2,0,No cambiar,0
142,3,0,2,1,No cambiar,0
143,3,1,2,0,No cambiar,0
144,3,2,0,1,No cambiar,0
145,3,0,0,2,No cambiar,1
146,3,0,0,2,No cambiar,1
147,3,0,0,2,No cambiar,1
148,3,0,1,2,No cambiar,0
149,3,2,1,0,No cambiar,0
150,3,1,1,0,No cambiar,1
151,3,0,2,1,No cambiar,0
152,3,0,0,1,No cambiar,1
153,3,0,1,2,No cambiar,0
154,3,2,0,1,No cambiar,0
155,3,0,2,1,No cambiar,0
156,3,1,0,2,No cambiar,0
157,3,1,0,2,No cambiar,0
158,3,0,0,1,No cambiar,1
159,3,0,0,1,No cambiar,1
160,3,0,0,2,No cambiar,1
161,3,2,0,1,No cambiar,0
162,3,0,0,2,No cambiar,1
163,3,0,1,2,No cambiar,0
164,3,0,1,2,No cambiar,0
165,3,2,2,0,No cambiar,1
166,3,2,1,0,No cambiar,0
167,3,2,1,0,No cambiar,0
168,3,2,2,1,No cambiar,1
169,3,2,0,1,No cambiar,0
170,3,0,2,1,No cambiar,0
171,3,2,0,1,No cambiar,0
172,3,0,1,2,No cambiar,0
173,3,0,2,1,No cambiar,0
174,3,2,0,1,No cambiar,0
175,3,0,0,2,No cambiar,1
176,3,2,1,0,No cambiar,0
177,3,1,1,2,No cambiar,1
178,3,1,0,2,No cambiar,0
179,3,2,1,0,No cambiar,0
180,3,2,1,0,No cambiar,0
181,3,1,2,0,No cambiar,0
182,3,1,1,0,No cambiar,1
183,3,0,2,1,No cambiar,0
