simulacion_id,num_puertas,premio,eleccion_inicial,puertas_abiertas,eleccion_final,estrategia,resultado
0,5,2,3,"[1, 0, 4]",2,Cambiar,1
1,5,1,1,"[2, 0, 4]",3,Cambiar,0
2,5,2,0,"[1, 3, 4]",2,Cambiar,1
3,5,2,3,"[4, 0, 1]",2,Cambiar,1
4,5,3,0,"[1, 2, 4]",3,Cambiar,1
5,5,1,4,"[3, 0, 2]",1,Cambiar,1
6,5,1,1,"[0, 4, 3]",2,Cambiar,0
7,5,2,1,"[4, 3, 0]",2,Cambiar,1
8,5,2,4,"[0, 1, 3]",2,Cambiar,1
9,5,2,3,"[1, 0, 4]",2,Cambiar,1
10,5,3,2,"[1, 0, 4]",3,Cambiar,1
11,5,1,2,"[3, 0, 4]",1,Cambiar,1
12,5,4,1,"[0, 3, 2]",4,Cambiar,1
13,5,2,2,"[1, 0, 4]",3,Cambiar,0
14,5,4,4,"[1, 2, 3]",0,Cambiar,0
15,5,4,2,"[1, 0, 3]",4,Cambiar,1
16,5,3,1,"[0, 4, 2]",3,Cambiar,1
17,5,3,4,"[0, 1, 2]",3,Cambiar,1
18,5,0,2,"[1, 4, 3]",0,Cambiar,1
19,5,3,1,"[0, 2, 4]",3,Cambiar,1
20,5,0,4,"[1, 2, 3]",0,Cambiar,1
21,5,0,2,"[1, 3, 4]",0,Cambiar,1
22,5,3,4,"[2, 0, 1]",3,Cambiar,1
23,5,4,1,"[3, 2, 0]",4,Cambiar,1
24,5,2,1,"[0, 4, 3]",2,Cambiar,1
25,5,3,2,"[1, 4, 0]",3,Cambiar,1
26,5,1,3,"[0, 4, 2]",1,Cambiar,1
27,5,4,1,"[3, 0, 2]",4,Cambiar,1
28,5,3,3,"[0, 4, 2]",1,Cambiar,0
29,5,1,4,"[3, 0, 2]",1,Cambiar,1
30,5,4,0,"[3, 2, 1]",4,Cambiar,1
31,5,1,1,"[3, 0, 4]",2,Cambiar,0
32,5,3,2,"[1, 4, 0]",3,Cambiar,1
33,5,3,0,"[2, 4, 1]",3,Cambiar,1
34,5,1,3,"[4, 2, 0]",1,Cambiar,1
35,5,3,3,"[0, 2, 1]",4,Cambiar,0
36,5,1,1,"[0, 4, 2]",3,Cambiar,0
37,5,0,0,"[4, 2, 3]",1,Cambiar,0
38,5,4,1,"[2, 3, 0]",4,Cambiar,1
39,5,4,0,"[3, 2, 1]",4,Cambiar,1
40,5,0,1,"[2, 3, 4]",0,Cambiar,1
41,5,3,3,"[2, 4, 1]",0,Cambiar,0
42,5,0,3,"[4, 2, 1]",0,Cambiar,1
43,5,3,0,"[4, 2, 1]",3,Cambiar,1
44,5,3,3,"[1, 0, 2]",4,Cambiar,0
45,5,1,3,"[2, 4, 0]",1,Cambiar,1
46,5,1,3,"[0, 2, 4]",1,Cambiar,1
47,5,0,3,"[2, 1, 4]",0,Cambiar,1
48,5,2,2,"[1, 4, 0]",3,Cambiar,0
49,5,1,2,"[0, 3, 4]",1,Cambiar,1
50,5,1,0,"[3, 2, 4]",1,Cambiar,1
51,5,1,4,"[2, 3, 0]",1,Cambiar,1
52,5,0,0,"[2, 3, 1]",4,Cambiar,0
53,5,0,0,"[2, 1, 3]",4,Cambiar,0
54,5,1,3,"[4, 0, 2]",1,Cambiar,1
55,5,0,1,"[4, 3, 2]",0,Cambiar,1
56,5,1,3,"[2, 0, 4]",1,Cambiar,1
57,5,1,2,"[4, 0, 3]",1,Cambiar,1
58,5,2,1,"[4, 0, 3]",2,Cambiar,1
59,5,4,2,"[3, 0, 1]",4,Cambiar,1
60,5,4,3,"[0, 1, 2]",4,Cambiar,1
61,5,4,0,"[3, 1, 2]",4,Cambiar,1
62,5,2,2,"[0, 1, 3]",4,Cambiar,0
63,5,2,4,"[1, 0, 3]",2,Cambiar,1
64,5,3,2,"[0, 4, 1]",3,Cambiar,1
65,5,1,4,"[3, 2, 0]",1,Cambiar,1
66,5,1,4,"[2, 0, 3]",1,Cambiar,1
67,5,2,1,"[0, 3, 4]",2,Cambiar,1
68,5,4,1,"[3, 0, 2]",4,Cambiar,1
69,5,4,3,"[2, 0, 1]",4,Cambiar,1
70,5,4,3,"[0, 2, 1]",4,Cambiar,1
71,5,1,3,"[2, 0, 4]",1,Cambiar,1
72,5,2,1,"[0, 4, 3]",2,Cambiar,1
73,5,2,3,"[0, 1, 4]",2,Cambiar,1
74,5,4,0,"[2, 1, 3]",4,Cambiar,1
75,5,0,3,"[4, 2, 1]",0,Cambiar,1
76,5,2,3,"[1, 0, 4]",2,Cambiar,1
77,5,1,3,"[4, 0, 2]",1,Cambiar,1
78,5,4,1,"[2, 3, 0]",4,Cambiar,1
79,5,4,4,"[1, 2, 0]",3,Cambiar,0
80,5,3,4,"[0, 1, 2]",3,Cambiar,1
81,5,0,3,"[2, 4, 1]",0,Cambiar,1
82,5,0,0,"[3, 4, 2]",1,Cambiar,0
83,5,1,0,"[4, 3, 2]",1,Cambiar,1
84,5,2,2,"[1, 4, 3]",0,Cambiar,0
85,5,2,2,"[0, 3, 1]",4,Cambiar,0
86,5,4,2,"[1, 0, 3]",4,Cambiar,1
87,5,4,1,"[2, 0, 3]",4,Cambiar,1
88,5,0,2,"[1, 4, 3]",0,Cambiar,1
89,5,3,3,"[4, 2, 1]",0,Cambiar,0
90,5,3,2,"[4, 0, 1]",3,Cambiar,1
91,5,2,1,"[0, 4, 3]",2,Cambiar,1
92,5,4,3,"[0, 2, 1]",4,Cambiar,1
93,5,0,1,"[3, 4, 2]",0,Cambiar,1
94,5,3,4,"[1, 0, 2]",3,Cambiar,1
95,5,1,2,"[0, 3, 4]",1,Cambiar,1
96,5,4,1,"[3, 0, 2]",4,Cambiar,1
97,5,2,2,"[1, 3, 0]",4,Cambiar,0
98,5,1,1,"[4, 2, 0]",3,Cambiar,0
99,5,2,0,"[4, 3, 1]",2,Cambiar,1
100,5,3,2,"[0, 4, 1]",3,Cambiar,1
101,5,0,1,"[2, 3, 4]",0,Cambiar,1
102,5,2,1,"[3, 4, 0]",2,Cambiar,1
103,5,2,1,"[4, 3, 0]",2,Cambiar,1
104,5,0,2,"[3, 4, 1]",0,Cambiar,1
105,5,2,3,"[1, 4, 0]",2,Cambiar,1
106,5,4,0,"[2, 1, 3]",4,Cambiar,1
107,5,1,2,"[0, 4, 3]",1,Cambiar,1
